原始模型
time cost: 0.014249932765960694
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
       aten::_adaptive_avg_pool2d         0.33%       3.597ms         0.54%       5.937ms      59.370us       3.408ms         0.20%       3.838ms      38.380us           0 b           0 b       9.57 Mb           0 b           100            --  
                    aten::flatten         0.17%       1.822ms         0.43%       4.668ms      46.680us       6.945ms         0.40%       7.164ms      71.640us           0 b           0 b           0 b           0 b           100            --  
                     aten::linear         0.70%       7.594ms         5.74%      62.548ms     208.493us       2.841ms         0.16%     207.486ms     691.620us           0 b           0 b       3.17 Mb           0 b           300            --  
                          aten::t         0.51%       5.600ms         1.06%      11.558ms      38.527us       1.509ms         0.09%       3.590ms      11.967us           0 b           0 b           0 b           0 b           300            --  
                  aten::transpose         0.37%       4.002ms         0.55%       5.958ms      19.860us       1.430ms         0.08%       2.081ms       6.937us           0 b           0 b           0 b           0 b           300            --  
                 aten::as_strided         0.32%       3.464ms         0.32%       3.464ms       5.851us       1.343ms         0.08%       1.343ms       2.269us           0 b           0 b           0 b           0 b           592            --  
                      aten::addmm         3.48%      37.875ms         3.98%      43.396ms     144.653us     198.950ms        11.48%     201.055ms     670.183us           0 b           0 b       3.17 Mb       3.17 Mb           300        23.916  
                     aten::expand         0.36%       3.966ms         0.51%       5.521ms      18.403us       1.413ms         0.08%       2.105ms       7.017us           0 b           0 b           0 b           0 b           300            --  
                    aten::dropout         0.12%       1.265ms         0.12%       1.265ms       6.325us     455.000us         0.03%     455.000us       2.275us           0 b           0 b           0 b           0 b           200            --  
                         [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -11.99 Gb     -11.99 Gb          4000            --  
                    aten::resize_         0.01%      77.000us         0.01%      77.000us       4.278us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            18            --  
                      aten::empty         0.04%     394.000us         0.04%     394.000us       7.164us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     103.60 Mb     103.60 Mb            55            --  
             aten::_reshape_alias         0.01%     131.000us         0.01%     131.000us      10.077us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                 aten::as_strided         0.00%      47.000us         0.00%      47.000us       5.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                       aten::view         0.01%      82.000us         0.01%      82.000us       8.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.090s
Self CUDA time total: 1.732s

增加BN计算的原始模型
time cost: 0.0173427677154541
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         2.86%      37.560ms        59.80%     784.950ms     603.808us       6.664ms         0.37%        1.324s       1.018ms           0 b           0 b       5.11 Gb           0 b          1300      3069.326  
                aten::convolution         2.18%      28.556ms        56.94%     747.390ms     574.915us       8.254ms         0.46%        1.317s       1.013ms           0 b           0 b       5.11 Gb           0 b          1300            --  
               aten::_convolution         5.48%      71.906ms        54.76%     718.834ms     552.949us      14.583ms         0.81%        1.309s       1.007ms           0 b           0 b       5.11 Gb           0 b          1300            --  
          aten::cudnn_convolution        38.26%     502.226ms        41.33%     542.537ms     417.336us        1.212s        67.65%        1.220s     938.778us           0 b           0 b       5.11 Gb      -7.42 Gb          1300            --  
                    aten::resize_         1.51%      19.858ms         1.51%      19.858ms       7.399us       6.126ms         0.34%       6.126ms       2.282us           0 b           0 b       9.57 Mb       9.57 Mb          2684            --  
                      aten::empty         6.28%      82.468ms         6.28%      82.468ms      12.594us      17.184ms         0.96%      17.184ms       2.624us           0 b           0 b      17.54 Gb      17.54 Gb          6548            --  
                    aten::reshape         1.83%      24.024ms         3.88%      50.936ms      39.182us       6.284ms         0.35%       9.169ms       7.053us           0 b           0 b           0 b           0 b          1300            --  
             aten::_reshape_alias         2.30%      30.231ms         2.30%      30.231ms      21.687us       3.107ms         0.17%       3.107ms       2.229us           0 b           0 b           0 b           0 b          1394            --  
                       aten::add_         4.07%      53.455ms         4.07%      53.455ms      41.119us      64.537ms         3.60%      64.537ms      49.644us           0 b           0 b           0 b           0 b          1300            --  
                 aten::batch_norm         2.07%      27.169ms        22.81%     299.470ms     230.362us      10.428ms         0.58%     143.425ms     110.327us           0 b           0 b       5.14 Gb           0 b          1300            --  
     aten::_batch_norm_impl_index         2.15%      28.259ms        20.74%     272.301ms     209.462us       6.515ms         0.36%     132.997ms     102.305us           0 b           0 b       5.14 Gb           0 b          1300            --  
           aten::cudnn_batch_norm         9.66%     126.817ms        18.59%     244.042ms     187.725us      97.880ms         5.47%     126.482ms      97.294us           0 b           0 b       5.14 Gb           0 b          1300            --  
                 aten::empty_like         3.30%      43.362ms         5.87%      76.995ms      59.227us       8.675ms         0.48%      11.628ms       8.945us           0 b           0 b       5.14 Gb           0 b          1300            --  
                       aten::view         1.09%      14.337ms         1.09%      14.337ms      11.088us       5.887ms         0.33%       5.887ms       4.553us           0 b           0 b           0 b           0 b          1293            --  
                      aten::relu_         2.98%      39.151ms         6.96%      91.398ms      60.932us       7.643ms         0.43%      74.951ms      49.967us           0 b           0 b           0 b           0 b          1500            --  
                 aten::clamp_min_         1.45%      18.976ms         3.98%      52.247ms      34.831us       7.962ms         0.44%      67.308ms      44.872us           0 b           0 b           0 b           0 b          1500            --  
                  aten::clamp_min         2.53%      33.271ms         2.53%      33.271ms      22.181us      59.346ms         3.31%      59.346ms      39.564us           0 b           0 b           0 b           0 b          1500            --  
                 aten::max_pool2d         0.85%      11.191ms         3.33%      43.728ms      87.456us       2.498ms         0.14%      21.458ms      42.916us           0 b           0 b       1.73 Gb           0 b           500            --  
    aten::max_pool2d_with_indices         2.48%      32.537ms         2.48%      32.537ms      65.074us      18.960ms         1.06%      18.960ms      37.920us           0 b           0 b       1.73 Gb       1.73 Gb           500            --  
        aten::adaptive_avg_pool2d         0.13%       1.676ms         0.69%       9.096ms      90.960us     515.000us         0.03%       3.115ms      31.150us           0 b           0 b       9.57 Mb           0 b           100            --  
       aten::_adaptive_avg_pool2d         0.32%       4.242ms         0.57%       7.420ms      74.200us       2.153ms         0.12%       2.600ms      26.000us           0 b           0 b       9.57 Mb           0 b           100            --  
                    aten::flatten         0.16%       2.091ms         0.42%       5.576ms      55.760us       4.411ms         0.25%       4.633ms      46.330us           0 b           0 b           0 b           0 b           100            --  
                     aten::linear         0.75%       9.817ms         5.86%      76.868ms     256.227us       2.397ms         0.13%     219.346ms     731.153us           0 b           0 b       3.17 Mb           0 b           300            --  
                          aten::t         0.51%       6.684ms         1.08%      14.158ms      47.193us       1.605ms         0.09%       3.775ms      12.583us           0 b           0 b           0 b           0 b           300            --  
                  aten::transpose         0.36%       4.790ms         0.57%       7.474ms      24.913us       1.500ms         0.08%       2.170ms       7.233us           0 b           0 b           0 b           0 b           300            --  
                 aten::as_strided         0.37%       4.840ms         0.37%       4.840ms       8.134us       1.370ms         0.08%       1.370ms       2.303us           0 b           0 b           0 b           0 b           595            --  
                      aten::addmm         3.53%      46.315ms         4.03%      52.893ms     176.310us     210.960ms        11.78%     213.174ms     710.580us           0 b           0 b       3.17 Mb       3.17 Mb           300        23.916  
                     aten::expand         0.33%       4.379ms         0.50%       6.578ms      21.927us       1.514ms         0.08%       2.214ms       7.380us           0 b           0 b           0 b           0 b           300            --  
                    aten::dropout         0.12%       1.523ms         0.12%       1.523ms       7.653us     480.000us         0.03%     480.000us       2.412us           0 b           0 b           0 b           0 b           199            --  
                         [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -11.98 Gb     -11.98 Gb          4000            --  
                      aten::empty         0.04%     471.000us         0.04%     471.000us       9.058us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     134.30 Mb     134.30 Mb            52            --  
                       aten::view         0.01%     122.000us         0.01%     122.000us      17.429us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7            --  
                    aten::resize_         0.01%      96.000us         0.01%      96.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                 aten::as_strided         0.00%      43.000us         0.00%      43.000us       8.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
             aten::_reshape_alias         0.01%     166.000us         0.01%     166.000us      27.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                    aten::dropout         0.00%       7.000us         0.00%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.313s
Self CUDA time total: 1.791s

BN剪枝模型
time cost: 0.012113051414489746
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         2.10%      20.623ms        56.26%     553.731ms     425.947us       6.477ms         0.54%     708.846ms     545.266us           0 b           0 b       2.09 Gb           0 b          1300       427.127  
                aten::convolution         2.17%      21.389ms        54.17%     533.108ms     410.083us      39.207ms         3.28%     702.369ms     540.284us           0 b           0 b       2.09 Gb           0 b          1300            --  
               aten::_convolution         4.66%      45.880ms        51.99%     511.719ms     393.630us      38.397ms         3.21%     663.162ms     510.125us           0 b           0 b       2.09 Gb           0 b          1300            --  
          aten::cudnn_convolution        36.47%     358.992ms        39.45%     388.254ms     298.657us     484.408ms        40.47%     495.094ms     380.842us           0 b           0 b       2.09 Gb       1.15 Gb          1300            --  
                    aten::resize_         1.54%      15.137ms         1.54%      15.137ms       5.615us       7.049ms         0.59%       7.049ms       2.615us           0 b           0 b     250.00 Kb     250.00 Kb          2696            --  
                      aten::empty         6.19%      60.898ms         6.19%      60.898ms       9.247us      17.057ms         1.43%      17.057ms       2.590us           0 b           0 b       2.92 Gb       2.92 Gb          6586            --  
                    aten::reshape         1.83%      17.992ms         3.79%      37.278ms      28.675us       6.328ms         0.53%       9.259ms       7.122us           0 b           0 b           0 b           0 b          1300            --  
             aten::_reshape_alias         2.08%      20.473ms         2.08%      20.473ms      14.665us       3.154ms         0.26%       3.154ms       2.259us           0 b           0 b           0 b           0 b          1396            --  
                       aten::add_         4.10%      40.307ms         4.10%      40.307ms      31.005us     120.412ms        10.06%     120.412ms      92.625us           0 b           0 b           0 b           0 b          1300            --  
                 aten::batch_norm         3.36%      33.086ms        25.89%     254.863ms     196.048us       6.581ms         0.55%     246.058ms     189.275us           0 b           0 b       1.98 Gb           0 b          1300            --  
     aten::_batch_norm_impl_index         2.14%      21.096ms        22.53%     221.777ms     170.598us       6.530ms         0.55%     239.477ms     184.213us           0 b           0 b       1.98 Gb           0 b          1300            --  
           aten::cudnn_batch_norm        12.48%     122.879ms        20.39%     200.681ms     154.370us     195.533ms        16.34%     232.947ms     179.190us           0 b           0 b       1.98 Gb           0 b          1300            --  
                 aten::empty_like         2.41%      23.693ms         4.70%      46.218ms      35.552us      21.437ms         1.79%      24.415ms      18.781us           0 b           0 b       1.98 Gb           0 b          1300            --  
                       aten::view         0.95%       9.312ms         0.95%       9.312ms       7.169us       3.015ms         0.25%       3.015ms       2.321us           0 b           0 b           0 b           0 b          1299            --  
                      aten::relu_         3.37%      33.137ms         7.59%      74.709ms      49.806us       7.530ms         0.63%      75.507ms      50.338us           0 b           0 b           0 b           0 b          1500            --  
                 aten::clamp_min_         1.60%      15.705ms         4.22%      41.572ms      27.715us       7.436ms         0.62%      67.977ms      45.318us           0 b           0 b           0 b           0 b          1500            --  
                  aten::clamp_min         2.63%      25.867ms         2.63%      25.867ms      17.245us      60.541ms         5.06%      60.541ms      40.361us           0 b           0 b           0 b           0 b          1500            --  
                 aten::max_pool2d         0.79%       7.774ms         3.32%      32.671ms      65.342us       2.471ms         0.21%      56.339ms     112.678us           0 b           0 b     778.71 Mb           0 b           500            --  
    aten::max_pool2d_with_indices         2.53%      24.897ms         2.53%      24.897ms      49.794us      53.868ms         4.50%      53.868ms     107.736us           0 b           0 b     778.71 Mb     778.71 Mb           500            --  
        aten::adaptive_avg_pool2d         0.13%       1.261ms         0.68%       6.741ms      67.410us     466.000us         0.04%       4.852ms      48.520us           0 b           0 b     250.00 Kb           0 b           100            --  
       aten::_adaptive_avg_pool2d         0.34%       3.368ms         0.56%       5.480ms      54.800us       3.928ms         0.33%       4.386ms      43.860us           0 b           0 b     250.00 Kb           0 b           100            --  
                    aten::flatten         0.15%       1.518ms         0.28%       2.767ms      27.670us     471.000us         0.04%     694.000us       6.940us           0 b           0 b           0 b           0 b           100            --  
                     aten::linear         0.68%       6.714ms         5.87%      57.731ms     192.437us       2.482ms         0.21%     104.074ms     346.913us           0 b           0 b       3.17 Mb           0 b           300            --  
                          aten::t         0.48%       4.732ms         1.14%      11.245ms      37.483us       1.511ms         0.13%      57.801ms     192.670us           0 b           0 b           0 b           0 b           300            --  
                  aten::transpose         0.39%       3.812ms         0.66%       6.513ms      21.710us      55.630ms         4.65%      56.290ms     187.633us           0 b           0 b           0 b           0 b           300            --  
                 aten::as_strided         0.44%       4.355ms         0.44%       4.355ms       7.270us       1.347ms         0.11%       1.347ms       2.249us           0 b           0 b           0 b           0 b           599            --  
                      aten::addmm         3.49%      34.363ms         4.04%      39.772ms     132.573us      40.853ms         3.41%      43.791ms     145.970us           0 b           0 b       3.17 Mb       3.17 Mb           300         3.845  
                     aten::expand         0.38%       3.752ms         0.55%       5.409ms      18.030us       2.251ms         0.19%       2.938ms       9.793us           0 b           0 b           0 b           0 b           300            --  
                    aten::dropout         0.10%     997.000us         0.10%     997.000us       5.010us     466.000us         0.04%     466.000us       2.342us           0 b           0 b           0 b           0 b           199            --  
                         [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.84 Gb      -4.84 Gb          4000            --  
             aten::_reshape_alias         0.01%      62.000us         0.01%      62.000us      15.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                      aten::empty         0.01%     102.000us         0.01%     102.000us       7.286us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       9.92 Mb       9.92 Mb            14            --  
                    aten::resize_         0.00%      22.000us         0.00%      22.000us       5.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                    aten::dropout         0.00%      10.000us         0.00%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                 aten::as_strided         0.00%       3.000us         0.00%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                       aten::view         0.00%      12.000us         0.00%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 984.220ms
Self CUDA time total: 1.197s

BN剪枝LN剪枝的模型
time cost: 0.013822135925292968
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         2.18%      24.339ms        55.51%     619.277ms     476.367us       6.559ms         0.48%     979.143ms     753.187us           0 b           0 b       2.05 Gb           0 b          1300    427126.846  
                aten::convolution         2.12%      23.628ms        53.33%     594.938ms     457.645us      34.150ms         2.50%     972.584ms     748.142us           0 b           0 b       2.05 Gb           0 b          1300            --  
               aten::_convolution         4.72%      52.706ms        51.21%     571.310ms     439.469us      83.010ms         6.08%     938.434ms     721.872us           0 b           0 b       2.05 Gb           0 b          1300            --  
          aten::cudnn_convolution        35.41%     394.983ms        38.33%     427.587ms     328.913us     674.636ms        49.38%     684.836ms     526.797us           0 b           0 b       2.05 Gb     967.97 Mb          1300            --  
                    aten::resize_         1.48%      16.524ms         1.48%      16.524ms       6.138us       6.270ms         0.46%       6.270ms       2.329us           0 b           0 b     250.00 Kb     250.00 Kb          2692            --  
                      aten::empty         6.29%      70.216ms         6.29%      70.216ms      10.665us      17.812ms         1.30%      17.812ms       2.705us           0 b           0 b       3.16 Gb       3.16 Gb          6584            --  
                    aten::reshape         1.77%      19.720ms         3.77%      42.017ms      32.321us       6.359ms         0.47%       9.295ms       7.150us           0 b           0 b           0 b           0 b          1300            --  
             aten::_reshape_alias         2.13%      23.715ms         2.13%      23.715ms      16.988us       3.168ms         0.23%       3.168ms       2.269us           0 b           0 b           0 b           0 b          1396            --  
                       aten::add_         4.39%      49.000ms         4.39%      49.000ms      37.692us     161.293ms        11.81%     161.293ms     124.072us           0 b           0 b           0 b           0 b          1300            --  
                 aten::batch_norm         4.40%      49.072ms        27.12%     302.588ms     232.760us       6.544ms         0.48%     274.731ms     211.332us           0 b           0 b       2.06 Gb           0 b          1300            --  
     aten::_batch_norm_impl_index         2.13%      23.811ms        22.73%     253.516ms     195.012us       6.642ms         0.49%     268.187ms     206.298us           0 b           0 b       2.06 Gb           0 b          1300            --  
           aten::cudnn_batch_norm        12.61%     140.687ms        20.59%     229.705ms     176.696us     225.207ms        16.48%     261.545ms     201.188us           0 b           0 b       2.06 Gb           0 b          1300            --  
                 aten::empty_like         2.46%      27.389ms         5.02%      56.002ms      43.078us      17.313ms         1.27%      20.312ms      15.625us           0 b           0 b       2.06 Gb           0 b          1300            --  
                       aten::view         0.87%       9.728ms         0.87%       9.728ms       7.500us       5.601ms         0.41%       5.601ms       4.318us           0 b           0 b           0 b           0 b          1297            --  
                      aten::relu_         3.86%      43.024ms         7.86%      87.638ms      58.425us       7.543ms         0.55%      47.436ms      31.624us           0 b           0 b           0 b           0 b          1500            --  
                 aten::clamp_min_         1.55%      17.291ms         4.00%      44.614ms      29.743us       7.609ms         0.56%      39.893ms      26.595us           0 b           0 b           0 b           0 b          1500            --  
                  aten::clamp_min         2.45%      27.323ms         2.45%      27.323ms      18.215us      32.284ms         2.36%      32.284ms      21.523us           0 b           0 b           0 b           0 b          1500            --  
                 aten::max_pool2d         0.70%       7.792ms         3.13%      34.959ms      69.918us       2.578ms         0.19%      40.837ms      81.674us           0 b           0 b     731.05 Mb           0 b           500            --  
    aten::max_pool2d_with_indices         2.44%      27.167ms         2.44%      27.167ms      54.334us      38.259ms         2.80%      38.259ms      76.518us           0 b           0 b     731.05 Mb     731.05 Mb           500            --  
        aten::adaptive_avg_pool2d         0.13%       1.440ms         0.65%       7.221ms      72.210us     534.000us         0.04%       2.845ms      28.450us           0 b           0 b     250.00 Kb           0 b           100            --  
       aten::_adaptive_avg_pool2d         0.30%       3.347ms         0.52%       5.781ms      57.810us       1.853ms         0.14%       2.311ms      23.110us           0 b           0 b     250.00 Kb           0 b           100            --  
                    aten::flatten         0.15%       1.633ms         0.28%       3.098ms      30.980us     488.000us         0.04%     720.000us       7.200us           0 b           0 b           0 b           0 b           100            --  
                     aten::linear         0.71%       7.952ms         5.33%      59.457ms     198.190us       2.436ms         0.18%      20.043ms      66.810us           0 b           0 b     850.00 Kb           0 b           300            --  
                          aten::t         0.49%       5.432ms         1.02%      11.333ms      37.777us       1.549ms         0.11%       4.901ms      16.337us           0 b           0 b           0 b           0 b           300            --  
                  aten::transpose         0.34%       3.836ms         0.53%       5.901ms      19.670us       2.680ms         0.20%       3.352ms      11.173us           0 b           0 b           0 b           0 b           300            --  
                 aten::as_strided         0.34%       3.810ms         0.34%       3.810ms       6.361us       1.348ms         0.10%       1.348ms       2.250us           0 b           0 b           0 b           0 b           599            --  
                      aten::addmm         3.10%      34.619ms         3.60%      40.172ms     133.907us       9.535ms         0.70%      12.706ms      42.353us           0 b           0 b     850.00 Kb     850.00 Kb           300       332.186  
                     aten::expand         0.34%       3.801ms         0.50%       5.553ms      18.510us       2.495ms         0.18%       3.171ms      10.570us           0 b           0 b           0 b           0 b           300            --  
                    aten::dropout         0.12%       1.294ms         0.12%       1.294ms       6.470us     471.000us         0.03%     471.000us       2.355us           0 b           0 b           0 b           0 b           200            --  
                         [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.83 Gb      -4.83 Gb          4000            --  
                      aten::empty         0.01%     153.000us         0.01%     153.000us       9.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      12.48 Mb      12.48 Mb            16            --  
                       aten::view         0.00%      13.000us         0.00%      13.000us       4.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3            --  
                    aten::resize_         0.00%      33.000us         0.00%      33.000us       4.125us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
             aten::_reshape_alias         0.00%      47.000us         0.00%      47.000us      11.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                 aten::as_strided         0.00%       7.000us         0.00%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.116s
Self CUDA time total: 1.366s

BN融合的BN剪枝模型
time cost: 0.005316128730773926
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         3.04%      13.209ms        66.76%     289.706ms     222.851us       6.239ms         1.23%     382.649ms     294.345us           0 b           0 b       1.98 Gb           0 b          1300       427.127  
                aten::convolution         3.03%      13.151ms        63.72%     276.497ms     212.690us       8.406ms         1.66%     376.410ms     289.546us           0 b           0 b       1.98 Gb           0 b          1300            --  
               aten::_convolution         7.53%      32.680ms        60.69%     263.346ms     202.574us      15.879ms         3.13%     368.004ms     283.080us           0 b           0 b       1.98 Gb           0 b          1300            --  
          aten::cudnn_convolution        37.84%     164.198ms        42.54%     184.606ms     142.005us     301.271ms        59.36%     310.965ms     239.204us           0 b           0 b       1.98 Gb       1.04 Gb          1300            --  
